TiSId;Índice;Ticker;Data;Cotação
62;MSCI All Countries;MXWD Index;01/10/2018;2108,4858
62;MSCI All Countries;MXWD Index;28/09/2018;2108,28212
62;MSCI All Countries;MXWD Index;27/09/2018;2099,09344
62;MSCI All Countries;MXWD Index;26/09/2018;2126,91165
62;MSCI All Countries;MXWD Index;25/09/2018;2165,95814
62;MSCI All Countries;MXWD Index;24/09/2018;2143,63853
62;MSCI All Countries;MXWD Index;21/09/2018;2132,77847
62;MSCI All Countries;MXWD Index;20/09/2018;2150,37004
62;MSCI All Countries;MXWD Index;19/09/2018;2144,46399
62;MSCI All Countries;MXWD Index;18/09/2018;2152,22294
62;MSCI All Countries;MXWD Index;17/09/2018;2153,56418
62;MSCI All Countries;MXWD Index;14/09/2018;2170,20333
62;MSCI All Countries;MXWD Index;13/09/2018;2164,92256
62;MSCI All Countries;MXWD Index;12/09/2018;2125,27737
62;MSCI All Countries;MXWD Index;11/09/2018;2136,5578
62;MSCI All Countries;MXWD Index;10/09/2018;2111,94149
62;MSCI All Countries;MXWD Index;07/09/2018;2093,46432
62;MSCI All Countries;MXWD Index;06/09/2018;2131,21358
62;MSCI All Countries;MXWD Index;05/09/2018;2131,01654
62;MSCI All Countries;MXWD Index;04/09/2018;2164,55501
62;MSCI All Countries;MXWD Index;03/09/2018;2156,84737
62;MSCI All Countries;MXWD Index;31/08/2018;2140,46566
62;MSCI All Countries;MXWD Index;30/08/2018;2173,35156
62;MSCI All Countries;MXWD Index;29/08/2018;2173,04622
62;MSCI All Countries;MXWD Index;28/08/2018;2164,64389
62;MSCI All Countries;MXWD Index;27/08/2018;2138,76851
62;MSCI All Countries;MXWD Index;24/08/2018;2135,07192
62;MSCI All Countries;MXWD Index;23/08/2018;2122,91948
62;MSCI All Countries;MXWD Index;22/08/2018;2112,49988
62;MSCI All Countries;MXWD Index;21/08/2018;2062,90724
62;MSCI All Countries;MXWD Index;20/08/2018;2034,90378
62;MSCI All Countries;MXWD Index;17/08/2018;2020,1487
62;MSCI All Countries;MXWD Index;16/08/2018;1993,3534
62;MSCI All Countries;MXWD Index;15/08/2018;1977,14825
62;MSCI All Countries;MXWD Index;14/08/2018;2001,6959
62;MSCI All Countries;MXWD Index;13/08/2018;2007,64942
62;MSCI All Countries;MXWD Index;10/08/2018;1988,29682
62;MSCI All Countries;MXWD Index;09/08/2018;1989,18024
62;MSCI All Countries;MXWD Index;08/08/2018;1959,44587
62;MSCI All Countries;MXWD Index;07/08/2018;1942,36646
62;MSCI All Countries;MXWD Index;06/08/2018;1935,81936
62;MSCI All Countries;MXWD Index;03/08/2018;1924,56249
62;MSCI All Countries;MXWD Index;02/08/2018;1943,51909
62;MSCI All Countries;MXWD Index;01/08/2018;1945,47842
62;MSCI All Countries;MXWD Index;31/07/2018;1948,38145
62;MSCI All Countries;MXWD Index;30/07/2018;1934,51616
62;MSCI All Countries;MXWD Index;27/07/2018;1938,15818
62;MSCI All Countries;MXWD Index;26/07/2018;1945,95172
62;MSCI All Countries;MXWD Index;25/07/2018;1935,93
62;MSCI All Countries;MXWD Index;24/07/2018;1941,72946
62;MSCI All Countries;MXWD Index;23/07/2018;1956,29923
62;MSCI All Countries;MXWD Index;20/07/2018;1949,49105
62;MSCI All Countries;MXWD Index;19/07/2018;1996,00486
62;MSCI All Countries;MXWD Index;18/07/2018;1976,38761
62;MSCI All Countries;MXWD Index;17/07/2018;1993,1392
62;MSCI All Countries;MXWD Index;16/07/2018;1985,74377
62;MSCI All Countries;MXWD Index;13/07/2018;1990,59201
62;MSCI All Countries;MXWD Index;12/07/2018;1987,08076
62;MSCI All Countries;MXWD Index;11/07/2018;1976,64846
62;MSCI All Countries;MXWD Index;10/07/2018;1967,9934
62;MSCI All Countries;MXWD Index;09/07/2018;1991,30723
62;MSCI All Countries;MXWD Index;06/07/2018;1989,26936
62;MSCI All Countries;MXWD Index;05/07/2018;1982,84026
62;MSCI All Countries;MXWD Index;04/07/2018;1965,82985
62;MSCI All Countries;MXWD Index;03/07/2018;1958,43284
62;MSCI All Countries;MXWD Index;02/07/2018;1970,0241
62;MSCI All Countries;MXWD Index;29/06/2018;1951,78273
62;MSCI All Countries;MXWD Index;28/06/2018;1935,94651
62;MSCI All Countries;MXWD Index;27/06/2018;1933,20235
62;MSCI All Countries;MXWD Index;26/06/2018;1906,39095
62;MSCI All Countries;MXWD Index;25/06/2018;1904,04201
62;MSCI All Countries;MXWD Index;22/06/2018;1925,5617
62;MSCI All Countries;MXWD Index;21/06/2018;1932,47551
62;MSCI All Countries;MXWD Index;20/06/2018;1920,84454
62;MSCI All Countries;MXWD Index;19/06/2018;1910,72695
62;MSCI All Countries;MXWD Index;18/06/2018;1929,42015
62;MSCI All Countries;MXWD Index;15/06/2018;1935,69218
62;MSCI All Countries;MXWD Index;14/06/2018;1933,67518
62;MSCI All Countries;MXWD Index;13/06/2018;1919,76035
62;MSCI All Countries;MXWD Index;12/06/2018;1924,78601
62;MSCI All Countries;MXWD Index;11/06/2018;1925,60834
62;MSCI All Countries;MXWD Index;08/06/2018;1945,63494
62;MSCI All Countries;MXWD Index;07/06/2018;2047,35754
62;MSCI All Countries;MXWD Index;06/06/2018;1986,57545
62;MSCI All Countries;MXWD Index;05/06/2018;1949,77882
62;MSCI All Countries;MXWD Index;04/06/2018;1932,74897
62;MSCI All Countries;MXWD Index;01/06/2018;1927,2359
62;MSCI All Countries;MXWD Index;31/05/2018;1897,1996
62;MSCI All Countries;MXWD Index;30/05/2018;1903,02072
62;MSCI All Countries;MXWD Index;29/05/2018;1894,71256
62;MSCI All Countries;MXWD Index;28/05/2018;1907,63734
62;MSCI All Countries;MXWD Index;25/05/2018;1879,78521
62;MSCI All Countries;MXWD Index;24/05/2018;1872,58312
62;MSCI All Countries;MXWD Index;23/05/2018;1872,01197
62;MSCI All Countries;MXWD Index;22/05/2018;1884,00496
62;MSCI All Countries;MXWD Index;21/05/2018;1921,1628
62;MSCI All Countries;MXWD Index;18/05/2018;1930,92433
62;MSCI All Countries;MXWD Index;17/05/2018;1912,99573
62;MSCI All Countries;MXWD Index;16/05/2018;1902,90482
62;MSCI All Countries;MXWD Index;15/05/2018;1886,80138
62;MSCI All Countries;MXWD Index;14/05/2018;1892,26933
62;MSCI All Countries;MXWD Index;11/05/2018;1866,42733
62;MSCI All Countries;MXWD Index;10/05/2018;1834,93544
62;MSCI All Countries;MXWD Index;09/05/2018;1847,43151
62;MSCI All Countries;MXWD Index;08/05/2018;1825,24456
62;MSCI All Countries;MXWD Index;07/05/2018;1810,51349
62;MSCI All Countries;MXWD Index;04/05/2018;1790,02678
62;MSCI All Countries;MXWD Index;03/05/2018;1785,21256
62;MSCI All Countries;MXWD Index;02/05/2018;1795,94457
62;MSCI All Countries;MXWD Index;01/05/2018;1785,16936
62;MSCI All Countries;MXWD Index;30/04/2018;1776,33386
62;MSCI All Countries;MXWD Index;27/04/2018;1773,03277
62;MSCI All Countries;MXWD Index;26/04/2018;1781,06708
62;MSCI All Countries;MXWD Index;25/04/2018;1776,17477
62;MSCI All Countries;MXWD Index;24/04/2018;1764,16163
62;MSCI All Countries;MXWD Index;23/04/2018;1761,32302
62;MSCI All Countries;MXWD Index;20/04/2018;1747,71193
62;MSCI All Countries;MXWD Index;19/04/2018;1759,57898
62;MSCI All Countries;MXWD Index;18/04/2018;1755,2253
62;MSCI All Countries;MXWD Index;17/04/2018;1751,19109
